year,hantavirus_cases,precipitation,avg_temperature,precip_lag_12,temp_lag_12
1994,21,11.1,49.47,12.7,47.77
1995,8,15.85,48.99,11.1,49.47
1996,6,15.96,50.81,15.85,48.99
1997,5,11.15,51.63,15.96,50.81
1998,21,12.57,51.35,11.15,51.63
1999,18,9.37,51.39,12.57,51.35
2000,26,9.46,50.14,9.37,51.39
2001,4,8.57,51.61,9.46,50.14
2002,9,8.07,48.93,8.57,51.61
2003,9,10.26,52.01,8.07,48.93
2004,14,12.23,50.18,10.26,52.01
2005,19,13.15,47.81,12.23,50.18
2006,27,13.1,51.2,13.15,47.81
2007,15,13.11,51.49,13.1,51.2
2008,9,11.9,49.18,13.11,51.49
2009,9,7.75,49.24,11.9,49.18
2010,8,15.53,52.42,7.75,49.24
2011,12,9.99,50.18,15.53,52.42
2012,7,8.08,53.65,9.99,50.18
2013,10,14.27,50.65,8.08,53.65
2014,19,9.04,52.37,14.27,50.65
2015,11,18.24,52.23,9.04,52.37
2016,24,12.83,52.36,18.24,52.23
2017,16,11.3,51.53,12.83,52.36
2018,6,10.1,52.32,11.3,51.53
2019,7,14.29,50.84,10.1,52.32
2020,8,6.51,52.09,14.29,50.84
2021,5,12.39,51.97,6.51,52.09
2022,6,8.64,51.78,12.39,51.97
2023,20,15.84,50.88,8.64,51.78
